國文,英文,數學,社會,自然
6,12,14,8,9
14,12,12,6,8
13,8,12,10,8
11,14,8,12,9
7,6,9,12,6
13,14,6,7,7
8,14,12,6,14
8,7,15,11,9
15,11,11,15,11
13,12,13,9,11
7,8,14,10,14
13,7,7,6,13
12,15,6,7,13
13,13,14,14,14
8,9,7,11,13
11,14,6,11,11
11,10,8,15,10
14,6,6,6,6
11,10,15,6,12
7,12,8,11,8
7,6,10,8,12
8,8,10,6,12
6,14,9,7,11
9,6,6,7,11
14,14,11,6,7
12,14,6,10,15
10,15,15,13,12
9,11,8,15,12
11,12,9,14,8
14,7,14,7,6
7,7,13,13,7
7,15,12,13,9
15,14,9,6,12
11,10,9,14,6
8,13,9,6,7
12,9,12,14,9
6,10,13,12,7
15,8,7,10,14
14,7,11,13,13
10,13,11,15,8
9,13,6,11,9
14,7,14,11,8
14,15,7,7,8
13,14,15,14,12
14,13,6,7,15
14,11,10,12,14
8,14,11,8,12
6,7,6,9,13
7,12,13,9,6
15,8,6,14,10
14,15,15,12,6
12,14,11,15,9
15,14,13,13,10
10,13,10,13,11
14,6,15,11,15
6,12,10,15,12
11,13,13,6,10
14,11,15,13,7
7,11,10,15,8
7,15,13,6,8
8,14,15,11,7
6,10,7,9,12
15,9,10,9,11
6,14,8,11,9
10,8,12,12,9
9,11,10,8,9
9,13,12,7,15
8,11,11,8,8
11,11,14,14,14
8,14,10,12,9
10,11,9,9,7
9,6,10,10,11
6,9,8,11,13
10,11,7,14,9
11,15,9,13,6
8,12,7,12,14
13,7,11,10,14
12,12,14,11,14
7,13,10,8,11
12,13,10,12,9
10,15,14,8,6
12,8,12,8,7
14,7,11,7,8
7,7,10,14,11
9,11,14,11,11
9,11,9,10,8
15,6,14,10,10
9,7,12,11,8
13,13,12,13,8
11,8,10,6,9
14,10,8,14,15
13,11,10,10,11
15,9,8,7,9
15,9,11,15,10
9,7,15,13,7
10,10,14,9,9
8,13,10,8,6
7,14,15,15,13
11,12,11,9,13
10,13,13,9,9
